Date,Price,CVol,Change,% Change,Open,High,Low
11/07/2014,5549,734998,22.53,0.41,"5,525.50","5,549.10","5,481.00"
10/31/14,5527,736745,114.35,2.11,"5,414.60","5,526.60","5,414.60"
10/24/14,5412,604418,140.53,2.67,"5,289.10","5,425.70","5,289.10"
10/17/14,5272,744461,83.47,1.61,"5,173.40","5,308.50","5,122.00"
10/10/2014,5188,734291,-129.96,-2.44,"5,317.70","5,324.60","5,187.60"
10/03/2014,5318,497283,4.8,0.09,"5,309.90","5,337.20","5,246.20"
09/26/14,5313,631951,-119.64,-2.2,"5,433.20","5,434.00","5,309.80"
09/19/14,5433,979624,-98.08,-1.77,"5,524.10","5,524.10","5,373.40"
9/12/2014,5531,546056,-67.55,-1.21,"5,599.90","5,607.90","5,509.80"
9/05/2014,5599,488425,-27.2,-0.48,"5,629.80","5,672.70","5,592.90"
08/29/14,5626,891496,-19.72,-0.35,"5,639.30","5,652.30","5,614.30"
08/22/14,5646,569739,79.09,1.42,"5,568.70","5,679.50","5,567.30"
08/15/14,5567,490884,131.21,2.41,"5,448.10","5,578.50","5,448.00"
8/08/2014,5435,691470,-121.06,-2.18,"5,551.10","5,551.60","5,425.20"
8/01/2014,5556,631863,-27.13,-0.49,"5,578.50","5,644.20","5,544.00"
07/25/14,5584,568159,51.84,0.94,"5,533.00","5,598.20","5,530.10"
07/18/14,5532,562805,44.87,0.82,"5,490.00","5,561.10","5,484.10"
7/11/2014,5487,492180,-38.18,-0.69,"5,530.20","5,535.90","5,439.50"
7/04/2014,5525,501489,79.92,1.47,"5,444.80","5,531.70","5,370.90"
06/27/14,5445,758026,25.58,0.47,"5,427.00","5,480.10","5,378.80"
06/20/14,5419,897933,14.42,0.27,"5,407.50","5,468.20","5,380.30"
06/13/14,5405,688433,-58.98,-1.08,"5,472.40","5,496.30","5,373.60"
6/06/2014,5464,541257,-28.51,-0.52,"5,484.10","5,526.00","5,416.80"
05/30/14,5493,1073757,-0.24,0,"5,497.50","5,541.70","5,492.50"
05/23/14,5493,588717,13.74,0.25,"5,473.10","5,507.40","5,372.10"
05/16/14,5479,532811,18.2,0.33,"5,458.60","5,510.80","5,432.00"
5/09/2014,5461,517056,2.78,0.05,"5,464.10","5,493.00","5,417.40"
5/02/2014,5458,534948,-72.95,-1.32,"5,527.70","5,554.50","5,430.40"
04/24/14,5531,612591,76.77,1.41,"5,455.50","5,537.80","5,452.40"
04/17/14,5454,534395,25.58,0.47,"5,424.30","5,459.40","5,358.90"
4/11/2014,5429,566744,5.82,0.11,"5,419.10","5,503.50","5,391.30"
4/04/2014,5423,486078,55.89,1.04,"5,376.10","5,422.80","5,350.50"
03/28/14,5367,696464,28.86,0.54,"5,332.40","5,394.20","5,301.40"
03/21/14,5338,1210417,8.69,0.16,"5,328.00","5,362.20","5,288.50"
03/14/14,5329,601838,-132.91,-2.43,"5,446.00","5,446.00","5,329.40"
3/07/2014,5462,594731,57.49,1.06,"5,391.10","5,462.30","5,340.30"
02/28/14,5405,990036,-33.87,-0.62,"5,441.50","5,461.70","5,401.60"
02/21/14,5439,756170,82.44,1.54,"5,359.90","5,452.40","5,355.40"
02/14/14,5356,536974,189.73,3.67,"5,177.10","5,356.30","5,175.50"
2/07/2014,5167,665802,-23.47,-0.45,"5,187.60","5,198.30","5,052.20"
01/31/14,5190,606305,-50.93,-0.97,"5,219.80","5,229.10","5,158.90"
01/24/14,5241,616265,-64.94,-1.22,"5,306.40","5,331.50","5,240.90"
01/17/14,5306,549832,-6.52,-0.12,"5,316.00","5,319.30","5,207.50"
1/10/2014,5312,480200,-37.71,-0.7,"5,353.30","5,362.00","5,295.40"
1/03/2014,5350,315449,26.04,0.49,"5,332.90","5,383.40","5,325.80"
12/27/13,5324,229034,58.84,1.12,"5,262.90","5,365.30","5,257.40"
12/20/13,5265,1355753,166.79,3.27,"5,090.50","5,265.20","5,059.70"
12/13/13,5098,656347,-87.59,-1.69,"5,195.30","5,207.60","5,028.20"
12/06/2013,5186,533434,-134.03,-2.52,"5,322.20","5,332.70","5,154.60"
11/29/13,5320,627365,-15.86,-0.3,"5,336.30","5,375.10","5,308.10"
11/22/13,5336,549984,-65.76,-1.22,"5,404.00","5,404.00","5,284.90"
11/15/13,5402,567961,1.01,0.02,"5,410.10","5,439.20","5,308.50"
11/08/2013,5401,598539,-10.46,-0.19,"5,414.50","5,438.40","5,379.90"
11/01/2013,5411,462321,24.78,0.46,"5,395.50","5,457.30","5,395.50"
10/25/13,5386,0,64.88,1.22,"5,330.30","5,402.40","5,330.30"
10/18/13,5321,0,90.59,1.73,"5,228.70","5,326.50","5,186.80"
10/11/2013,5231,0,22.86,0.44,"5,207.60","5,239.60","5,118.90"
10/04/2013,5208,0,-99.04,-1.87,"5,297.70","5,297.70","5,197.70"
09/27/13,5307,0,30.37,0.58,"5,264.30","5,314.30","5,217.90"
09/20/13,5277,0,57.06,1.09,"5,228.80","5,300.10","5,227.60"
09/13/13,5220,0,74.64,1.45,"5,151.70","5,252.10","5,146.10"
9/06/2013,5145,0,10.03,0.2,"5,127.10","5,207.70","5,115.10"
08/30/13,5135,0,11.6,0.23,"5,124.00","5,157.10","5,064.10"
08/23/13,5123,0,9.5,0.19,"5,112.20","5,142.10","5,028.00"
08/16/13,5114,0,58.65,1.16,"5,064.40","5,168.20","5,048.10"
8/09/2013,5055,0,-61.55,-1.2,"5,114.60","5,117.70","5,007.90"
8/02/2013,5117,0,74.74,1.48,"5,041.90","5,116.80","5,025.60"
07/26/13,5042,0,69.93,1.41,"4,974.90","5,062.60","4,974.90"
07/19/13,4972,0,-1.79,-0.04,"4,978.10","5,010.10","4,960.10"
7/12/2013,4974,0,132.14,2.73,"4,833.70","5,012.50","4,786.10"
7/05/2013,4842,0,39.16,0.82,"4,802.00","4,853.40","4,702.70"
06/28/13,4803,0,63.79,1.35,"4,728.30","4,833.40","4,632.30"
06/21/13,4739,0,-52.96,-1.11,"4,773.20","4,861.40","4,683.30"
06/14/13,4792,0,54.05,1.14,"4,746.50","4,792.60","4,658.60"
6/07/2013,4738,0,-188.87,-3.83,"4,919.80","4,933.30","4,732.30"
05/31/13,4927,0,-56.93,-1.14,"4,983.80","4,993.20","4,897.90"
05/24/13,4983,0,-197.28,-3.81,"5,187.20","5,246.90","4,954.90"
05/17/13,5181,0,-25.32,-0.49,"5,203.50","5,249.60","5,156.80"
5/10/2013,5206,0,76.59,1.49,"5,146.70","5,242.50","5,118.90"
5/03/2013,5129,0,31.99,0.63,"5,098.10","5,195.10","5,098.10"
04/26/13,5098,0,165.6,3.36,"4,932.60","5,135.00","4,932.60"
04/19/13,4932,0,-81.62,-1.63,"5,005.30","5,006.10","4,914.00"
4/12/2013,5014,0,122.11,2.5,"4,898.70","5,023.00","4,889.60"
4/05/2013,4891,0,-75.07,-1.51,"4,964.80","5,011.90","4,883.70"
03/28/13,4966,0,-0.76,-0.02,"4,968.80","5,023.20","4,942.50"
03/22/13,4967,0,-152.98,-2.99,"5,101.70","5,101.70","4,927.90"
03/15/13,5120,0,-3.2,-0.06,"5,120.80","5,163.50","5,032.20"
3/08/2013,5123,0,37.31,0.73,"5,068.20","5,135.70","5,009.60"
3/01/2013,5086,0,67.99,1.35,"5,016.80","5,112.50","4,978.40"
02/22/13,5018,0,-15.77,-0.31,"5,041.20","5,106.60","4,975.90"
02/15/13,5034,0,62.62,1.26,"4,969.10","5,045.40","4,959.00"
2/08/2013,4971,0,50.2,1.02,"4,927.20","4,971.30","4,869.50"
2/01/2013,4921,0,85.92,1.78,"4,842.40","4,922.60","4,841.60"
01/25/13,4835,0,63.95,1.34,"4,773.30","4,835.20","4,762.60"
01/18/13,4771,0,61.74,1.31,"4,708.90","4,787.20","4,706.40"
